content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,tokens,clean_tokens,stemmed_tokens,final_text
membantu perjalanan,4,0,2.3.0,2025-03-29 00:05:24,,,"['membantu', 'perjalanan']","['membantu', 'perjalanan']","['bantu', 'jalan']",bantu jalan
kalau aplikasi pelayanan publik tidak perlu update terus harusnya yang pakai aplikasi ini kan kalangan menengah kebawah yang artinya punya paket internet minim kalau update terus terusan tekor paketnya apalagi suruh bayar aplikasi tidak ada yang mau paling yang beli aplikasi yang mampu tapi apakah mereka pengguna bus transjogja transjogja tolong diperbaiki aplikasi nya atau tidak usah sama sekali tidak begitu penting kok,3,2,2.3.0,2025-03-28 12:36:36,,,"['kalau', 'aplikasi', 'pelayanan', 'publik', 'tidak', 'perlu', 'update', 'terus', 'harusnya', 'yang', 'pakai', 'aplikasi', 'ini', 'kan', 'kalangan', 'menengah', 'kebawah', 'yang', 'artinya', 'punya', 'paket', 'internet', 'minim', 'kalau', 'update', 'terus', 'terusan', 'tekor', 'paketnya', 'apalagi', 'suruh', 'bayar', 'aplikasi', 'tidak', 'ada', 'yang', 'mau', 'paling', 'yang', 'beli', 'aplikasi', 'yang', 'mampu', 'tapi', 'apakah', 'mereka', 'pengguna', 'bus', 'transjogja', 'transjogja', 'tolong', 'diperbaiki', 'aplikasi', 'nya', 'atau', 'tidak', 'usah', 'sama', 'sekali', 'tidak', 'begitu', 'penting', 'kok']","['aplikasi', 'pelayanan', 'publik', 'update', 'pakai', 'aplikasi', 'kalangan', 'menengah', 'kebawah', 'paket', 'internet', 'minim', 'update', 'terusan', 'tekor', 'paketnya', 'suruh', 'bayar', 'aplikasi', 'beli', 'aplikasi', 'pengguna', 'bus', 'transjogja', 'transjogja', 'tolong', 'diperbaiki', 'aplikasi']","['aplikasi', 'layan', 'publik', 'update', 'pakai', 'aplikasi', 'kalang', 'tengah', 'bawah', 'paket', 'internet', 'minim', 'update', 'terus', 'tekor', 'paket', 'suruh', 'bayar', 'aplikasi', 'beli', 'aplikasi', 'guna', 'bus', 'transjogja', 'transjogja', 'tolong', 'baik', 'aplikasi']",aplikasi layan publik update pakai aplikasi kalang tengah bawah paket internet minim update terus tekor paket suruh bayar aplikasi beli aplikasi guna bus transjogja transjogja tolong baik aplikasi
sangat membantu,4,0,2.3.0,2025-03-26 23:52:22,,,"['sangat', 'membantu']",['membantu'],['bantu'],bantu
real aplikasi terimakasih,5,0,2.3.0,2025-03-25 03:38:12,,,"['real', 'aplikasi', 'terimakasih']","['real', 'aplikasi', 'terimakasih']","['real', 'aplikasi', 'terimakasih']",real aplikasi terimakasih
muantaaap,5,0,2.2.1,2025-03-24 13:52:15,,,['muantaaap'],['muantaaap'],['muantaaap'],muantaaap
transportasi publik yang sangat nyaman dan sangat keren mantap transjogja transjogja jogjakarta keren,5,0,2.3.0,2025-03-23 09:06:24,,,"['transportasi', 'publik', 'yang', 'sangat', 'nyaman', 'dan', 'sangat', 'keren', 'mantap', 'transjogja', 'transjogja', 'jogjakarta', 'keren']","['transportasi', 'publik', 'nyaman', 'keren', 'mantap', 'transjogja', 'transjogja', 'jogjakarta', 'keren']","['transportasi', 'publik', 'nyaman', 'keren', 'mantap', 'transjogja', 'transjogja', 'jogjakarta', 'keren']",transportasi publik nyaman keren mantap transjogja transjogja jogjakarta keren
sangat akurat dan sangat membantu sekali terimakasih transjogja transjogja sukses selalu ya,5,0,2.3.0,2025-03-21 13:02:33,,,"['sangat', 'akurat', 'dan', 'sangat', 'membantu', 'sekali', 'terimakasih', 'transjogja', 'transjogja', 'sukses', 'selalu', 'ya']","['akurat', 'membantu', 'terimakasih', 'transjogja', 'transjogja', 'sukses']","['akurat', 'bantu', 'terimakasih', 'transjogja', 'transjogja', 'sukses']",akurat bantu terimakasih transjogja transjogja sukses
tolong dong yang di tpb letjen suprapto deket rs gedong tengen rute nya di perjelas lagi masa iya semua muncul sampai yang di arah lain muncul saya udah kebiasaan menunggu disitu habis pulang kampus jadinya sering ke php karena tidak jelas bus nya muncul kapan,1,0,2.3.0,2025-03-14 09:40:07,,,"['tolong', 'dong', 'yang', 'di', 'tpb', 'letjen', 'suprapto', 'deket', 'rs', 'gedong', 'tengen', 'rute', 'nya', 'di', 'perjelas', 'lagi', 'masa', 'iya', 'semua', 'muncul', 'sampai', 'yang', 'di', 'arah', 'lain', 'muncul', 'saya', 'udah', 'kebiasaan', 'menunggu', 'disitu', 'habis', 'pulang', 'kampus', 'jadinya', 'sering', 'ke', 'php', 'karena', 'tidak', 'jelas', 'bus', 'nya', 'muncul', 'kapan']","['tolong', 'tpb', 'letjen', 'suprapto', 'deket', 'rs', 'gedong', 'tengen', 'rute', 'perjelas', 'iya', 'muncul', 'arah', 'muncul', 'udah', 'kebiasaan', 'menunggu', 'disitu', 'habis', 'pulang', 'kampus', 'php', 'bus', 'muncul']","['tolong', 'tpb', 'letjen', 'suprapto', 'deket', 'rs', 'gedong', 'tengen', 'rute', 'jelas', 'iya', 'muncul', 'arah', 'muncul', 'udah', 'biasa', 'tunggu', 'situ', 'habis', 'pulang', 'kampus', 'php', 'bus', 'muncul']",tolong tpb letjen suprapto deket rs gedong tengen rute jelas iya muncul arah muncul udah biasa tunggu situ habis pulang kampus php bus muncul
transjogja transjogja top mantap is the best,5,0,2.3.0,2025-03-13 01:01:30,,,"['transjogja', 'transjogja', 'top', 'mantap', 'is', 'the', 'best']","['transjogja', 'transjogja', 'top', 'mantap', 'is', 'the', 'best']","['transjogja', 'transjogja', 'top', 'mantap', 'is', 'the', 'best']",transjogja transjogja top mantap is the best
aplikasi sangat membantu saya jadi bisa tahu rute dan lokasi bus jadi saya lebih tenang saat menunggu krn nisa melihat lokasi bus yang saya tunggu,5,0,2.3.0,2025-03-12 03:41:06,,,"['aplikasi', 'sangat', 'membantu', 'saya', 'jadi', 'bisa', 'tahu', 'rute', 'dan', 'lokasi', 'bus', 'jadi', 'saya', 'lebih', 'tenang', 'saat', 'menunggu', 'krn', 'nisa', 'melihat', 'lokasi', 'bus', 'yang', 'saya', 'tunggu']","['aplikasi', 'membantu', 'rute', 'lokasi', 'bus', 'tenang', 'menunggu', 'krn', 'nisa', 'lokasi', 'bus', 'tunggu']","['aplikasi', 'bantu', 'rute', 'lokasi', 'bus', 'tenang', 'tunggu', 'krn', 'nisa', 'lokasi', 'bus', 'tunggu']",aplikasi bantu rute lokasi bus tenang tunggu krn nisa lokasi bus tunggu
pelayanan kurang baik,1,0,,2025-03-08 10:40:02,,,"['pelayanan', 'kurang', 'baik']","['pelayanan', 'baik']","['layan', 'baik']",layan baik
sangat membatu,5,0,2.3.0,2025-02-28 03:44:52,,,"['sangat', 'membatu']",['membatu'],['batu'],batu
kadang bus nya telat gerak di transjogja dan itu ngeselin banget btw b lewat cik di tiro pls,4,0,2.3.0,2025-02-22 11:58:33,,,"['kadang', 'bus', 'nya', 'telat', 'gerak', 'di', 'transjogja', 'dan', 'itu', 'ngeselin', 'banget', 'btw', 'b', 'lewat', 'cik', 'di', 'tiro', 'pls']","['kadang', 'bus', 'telat', 'gerak', 'transjogja', 'ngeselin', 'banget', 'btw', 'b', 'cik', 'tiro']","['kadang', 'bus', 'telat', 'gerak', 'transjogja', 'ngeselin', 'banget', 'btw', 'b', 'cik', 'tiro']",kadang bus telat gerak transjogja ngeselin banget btw b cik tiro
aplikasi praktis sangat membantu lancarnya perjalanan perlu disosialisasikan terus mungkin banyak yang belum memanfaatkan,5,5,2.3.0,2025-02-21 23:44:22,,,"['aplikasi', 'praktis', 'sangat', 'membantu', 'lancarnya', 'perjalanan', 'perlu', 'disosialisasikan', 'terus', 'mungkin', 'banyak', 'yang', 'belum', 'memanfaatkan']","['aplikasi', 'praktis', 'membantu', 'lancarnya', 'perjalanan', 'disosialisasikan', 'memanfaatkan']","['aplikasi', 'praktis', 'bantu', 'lancar', 'jalan', 'sosialisasi', 'manfaat']",aplikasi praktis bantu lancar jalan sosialisasi manfaat
memuaskan,5,0,2.3.0,2025-02-20 07:13:13,,,['memuaskan'],['memuaskan'],['muas'],muas
sangat bagus,5,0,2.3.0,2025-02-19 10:47:05,,,"['sangat', 'bagus']",['bagus'],['bagus'],bagus
,5,0,2.3.0,2025-02-17 22:54:53,,,[],[],[],
mohon ditambah halte lagi di barat simpang wojo yang arah ke terminal giwangan untuk jalur,5,0,2.3.0,2025-02-17 06:21:45,,,"['mohon', 'ditambah', 'halte', 'lagi', 'di', 'barat', 'simpang', 'wojo', 'yang', 'arah', 'ke', 'terminal', 'giwangan', 'untuk', 'jalur']","['mohon', 'ditambah', 'halte', 'barat', 'simpang', 'wojo', 'arah', 'terminal', 'giwangan', 'jalur']","['mohon', 'tambah', 'halte', 'barat', 'simpang', 'wojo', 'arah', 'terminal', 'giwang', 'jalur']",mohon tambah halte barat simpang wojo arah terminal giwang jalur
wah bagus banget semuanya lengkap dan tidak ada iklan loh terimakasih transjogja transjogja udah menemani kita semua tapi bisa tidak hubungkan metode pembayaran ke gopay,5,11,2.3.0,2025-02-16 12:52:42,,,"['wah', 'bagus', 'banget', 'semuanya', 'lengkap', 'dan', 'tidak', 'ada', 'iklan', 'loh', 'terimakasih', 'transjogja', 'transjogja', 'udah', 'menemani', 'kita', 'semua', 'tapi', 'bisa', 'tidak', 'hubungkan', 'metode', 'pembayaran', 'ke', 'gopay']","['bagus', 'banget', 'lengkap', 'iklan', 'terimakasih', 'transjogja', 'transjogja', 'udah', 'menemani', 'hubungkan', 'metode', 'pembayaran', 'gopay']","['bagus', 'banget', 'lengkap', 'iklan', 'terimakasih', 'transjogja', 'transjogja', 'udah', 'tani', 'hubung', 'metode', 'bayar', 'gopay']",bagus banget lengkap iklan terimakasih transjogja transjogja udah tani hubung metode bayar gopay
bagus,5,0,2.3.0,2025-02-16 04:41:30,,,['bagus'],['bagus'],['bagus'],bagus
tolong dong yang jalur sama a tlong ganti bus jdi yang besar dong karena jalur itu byk yang pakai apalagi yang jalur ke pakem masa kalau udh penuh menunggu lagi dan itu lama banget sama couternya tambahin lgi lah kyk dlu saya sering telat krn bus sering banget berubah jamnya kalau dulu kan masih byk couter jdi kalau telat dikit bus masih ada lah ini menunggu mnt sendiri sama bus jangan suka berenti pas lgi jam operasional dong saya jdi sering telat gr suka berenti semoga ada perkembangan terimakasih,2,4,2.3.0,2025-02-15 14:48:41,,,"['tolong', 'dong', 'yang', 'jalur', 'sama', 'a', 'tlong', 'ganti', 'bus', 'jdi', 'yang', 'besar', 'dong', 'karena', 'jalur', 'itu', 'byk', 'yang', 'pakai', 'apalagi', 'yang', 'jalur', 'ke', 'pakem', 'masa', 'kalau', 'udh', 'penuh', 'menunggu', 'lagi', 'dan', 'itu', 'lama', 'banget', 'sama', 'couternya', 'tambahin', 'lgi', 'lah', 'kyk', 'dlu', 'saya', 'sering', 'telat', 'krn', 'bus', 'sering', 'banget', 'berubah', 'jamnya', 'kalau', 'dulu', 'kan', 'masih', 'byk', 'couter', 'jdi', 'kalau', 'telat', 'dikit', 'bus', 'masih', 'ada', 'lah', 'ini', 'menunggu', 'mnt', 'sendiri', 'sama', 'bus', 'jangan', 'suka', 'berenti', 'pas', 'lgi', 'jam', 'operasional', 'dong', 'saya', 'jdi', 'sering', 'telat', 'gr', 'suka', 'berenti', 'semoga', 'ada', 'perkembangan', 'terimakasih']","['tolong', 'jalur', 'a', 'tlong', 'ganti', 'bus', 'jdi', 'jalur', 'byk', 'pakai', 'jalur', 'pakem', 'udh', 'penuh', 'menunggu', 'banget', 'couternya', 'tambahin', 'lgi', 'kyk', 'dlu', 'telat', 'krn', 'bus', 'banget', 'berubah', 'jamnya', 'byk', 'couter', 'jdi', 'telat', 'dikit', 'bus', 'menunggu', 'mnt', 'bus', 'suka', 'berenti', 'pas', 'lgi', 'jam', 'operasional', 'jdi', 'telat', 'gr', 'suka', 'berenti', 'semoga', 'perkembangan', 'terimakasih']","['tolong', 'jalur', 'a', 'tlong', 'ganti', 'bus', 'jdi', 'jalur', 'byk', 'pakai', 'jalur', 'pakem', 'udh', 'penuh', 'tunggu', 'banget', 'couternya', 'tambahin', 'lgi', 'kyk', 'dlu', 'telat', 'krn', 'bus', 'banget', 'ubah', 'jam', 'byk', 'couter', 'jdi', 'telat', 'dikit', 'bus', 'tunggu', 'mnt', 'bus', 'suka', 'renti', 'pas', 'lgi', 'jam', 'operasional', 'jdi', 'telat', 'gr', 'suka', 'renti', 'moga', 'kembang', 'terimakasih']",tolong jalur a tlong ganti bus jdi jalur byk pakai jalur pakem udh penuh tunggu banget couternya tambahin lgi kyk dlu telat krn bus banget ubah jam byk couter jdi telat dikit bus tunggu mnt bus suka renti pas lgi jam operasional jdi telat gr suka renti moga kembang terimakasih
mohon untuk halte halte yang baru di rute jalur dan diberi tanda dikarenakan ada beberapa bus yang tidak berhenti di situ saat penumpang menunggu mohon dibuat sop untuk setiap halte bus untuk berhenti dikarenakan banyak penumpang disabilitas netra yang tidak tahu bila bus itu datang mohon rute lain seperti a b juga diedit seperti a b supaya tidak berputar putar rutenya dibuat untuk rute kepergian dan kepulangannya yang sama mohon petugas di halte untuk lebih ramah akses,5,8,2.3.0,2025-02-14 23:33:18,,,"['mohon', 'untuk', 'halte', 'halte', 'yang', 'baru', 'di', 'rute', 'jalur', 'dan', 'diberi', 'tanda', 'dikarenakan', 'ada', 'beberapa', 'bus', 'yang', 'tidak', 'berhenti', 'di', 'situ', 'saat', 'penumpang', 'menunggu', 'mohon', 'dibuat', 'sop', 'untuk', 'setiap', 'halte', 'bus', 'untuk', 'berhenti', 'dikarenakan', 'banyak', 'penumpang', 'disabilitas', 'netra', 'yang', 'tidak', 'tahu', 'bila', 'bus', 'itu', 'datang', 'mohon', 'rute', 'lain', 'seperti', 'a', 'b', 'juga', 'diedit', 'seperti', 'a', 'b', 'supaya', 'tidak', 'berputar', 'putar', 'rutenya', 'dibuat', 'untuk', 'rute', 'kepergian', 'dan', 'kepulangannya', 'yang', 'sama', 'mohon', 'petugas', 'di', 'halte', 'untuk', 'lebih', 'ramah', 'akses']","['mohon', 'halte', 'halte', 'rute', 'jalur', 'tanda', 'bus', 'berhenti', 'situ', 'penumpang', 'menunggu', 'mohon', 'sop', 'halte', 'bus', 'berhenti', 'penumpang', 'disabilitas', 'netra', 'bus', 'mohon', 'rute', 'a', 'b', 'diedit', 'a', 'b', 'berputar', 'putar', 'rutenya', 'rute', 'kepergian', 'kepulangannya', 'mohon', 'petugas', 'halte', 'ramah', 'akses']","['mohon', 'halte', 'halte', 'rute', 'jalur', 'tanda', 'bus', 'henti', 'situ', 'tumpang', 'tunggu', 'mohon', 'sop', 'halte', 'bus', 'henti', 'tumpang', 'disabilitas', 'netra', 'bus', 'mohon', 'rute', 'a', 'b', 'edit', 'a', 'b', 'putar', 'putar', 'rute', 'rute', 'pergi', 'pulang', 'mohon', 'tugas', 'halte', 'ramah', 'akses']",mohon halte halte rute jalur tanda bus henti situ tumpang tunggu mohon sop halte bus henti tumpang disabilitas netra bus mohon rute a b edit a b putar putar rute rute pergi pulang mohon tugas halte ramah akses
bagus,5,0,2.2.1,2025-02-12 13:13:08,,,['bagus'],['bagus'],['bagus'],bagus
b lama banget bus nya cuma,1,0,,2025-02-11 22:59:43,,,"['b', 'lama', 'banget', 'bus', 'nya', 'cuma']","['b', 'banget', 'bus']","['b', 'banget', 'bus']",b banget bus
ini aplikasi kenapa ya kalau buat mantau lokasi loadingnya suka lama,3,1,2.3.0,2025-02-10 08:37:37,,,"['ini', 'aplikasi', 'kenapa', 'ya', 'kalau', 'buat', 'mantau', 'lokasi', 'loadingnya', 'suka', 'lama']","['aplikasi', 'mantau', 'lokasi', 'loadingnya', 'suka']","['aplikasi', 'mantau', 'lokasi', 'loadingnya', 'suka']",aplikasi mantau lokasi loadingnya suka
tampilan baru dan keren aplikasi ini memudahkan moda transportasi tanpa kesulitan mudah naik bus transjogja transjogja ke tujuan lewat halte setempat,5,0,2.3.0,2025-02-09 10:07:08,,,"['tampilan', 'baru', 'dan', 'keren', 'aplikasi', 'ini', 'memudahkan', 'moda', 'transportasi', 'tanpa', 'kesulitan', 'mudah', 'naik', 'bus', 'transjogja', 'transjogja', 'ke', 'tujuan', 'lewat', 'halte', 'setempat']","['tampilan', 'keren', 'aplikasi', 'memudahkan', 'moda', 'transportasi', 'kesulitan', 'mudah', 'bus', 'transjogja', 'transjogja', 'tujuan', 'halte']","['tampil', 'keren', 'aplikasi', 'mudah', 'moda', 'transportasi', 'sulit', 'mudah', 'bus', 'transjogja', 'transjogja', 'tuju', 'halte']",tampil keren aplikasi mudah moda transportasi sulit mudah bus transjogja transjogja tuju halte
lama menunggu bus di rute tertera menjt tapi saya menunggu jam lebih,1,0,2.2.1,2025-02-07 08:45:27,,,"['lama', 'menunggu', 'bus', 'di', 'rute', 'tertera', 'menjt', 'tapi', 'saya', 'menunggu', 'jam', 'lebih']","['menunggu', 'bus', 'rute', 'tertera', 'menjt', 'menunggu', 'jam']","['tunggu', 'bus', 'rute', 'tera', 'menjt', 'tunggu', 'jam']",tunggu bus rute tera menjt tunggu jam
saran di benahin lagi dong untuk pemberangkatan jangan terlalu lama antar bus nya kasihan yang menimati layanan transjogja bagi pekerja,1,1,2.2.1,2025-02-06 05:52:08,,,"['saran', 'di', 'benahin', 'lagi', 'dong', 'untuk', 'pemberangkatan', 'jangan', 'terlalu', 'lama', 'antar', 'bus', 'nya', 'kasihan', 'yang', 'menimati', 'layanan', 'transjogja', 'bagi', 'pekerja']","['saran', 'benahin', 'pemberangkatan', 'bus', 'kasihan', 'menimati', 'layanan', 'transjogja', 'pekerja']","['saran', 'benahin', 'berangkat', 'bus', 'kasihan', 'menimati', 'layan', 'transjogja', 'kerja']",saran benahin berangkat bus kasihan menimati layan transjogja kerja
aplikasi kacrut ngasih peta saja musti hidup in lokasi bikin boros baterai dan ganggu privasi pengguna,1,0,2.3.0,2025-02-04 03:37:27,,,"['aplikasi', 'kacrut', 'ngasih', 'peta', 'saja', 'musti', 'hidup', 'in', 'lokasi', 'bikin', 'boros', 'baterai', 'dan', 'ganggu', 'privasi', 'pengguna']","['aplikasi', 'kacrut', 'ngasih', 'peta', 'musti', 'hidup', 'in', 'lokasi', 'bikin', 'boros', 'baterai', 'ganggu', 'privasi', 'pengguna']","['aplikasi', 'kacrut', 'ngasih', 'peta', 'musti', 'hidup', 'in', 'lokasi', 'bikin', 'boros', 'baterai', 'ganggu', 'privasi', 'guna']",aplikasi kacrut ngasih peta musti hidup in lokasi bikin boros baterai ganggu privasi guna
update bikin ngelag,1,0,2.3.0,2025-02-03 10:09:30,,,"['update', 'bikin', 'ngelag']","['update', 'bikin', 'ngelag']","['update', 'bikin', 'ngelag']",update bikin ngelag
tidak bisa login,2,0,2.3.0,2025-02-02 15:05:54,,,"['tidak', 'bisa', 'login']",['login'],['login'],login
rute nya diupdate dong banyak bus yang rute nya beda sama di aplikasi,4,0,2.2.1,2025-01-28 11:57:57,,,"['rute', 'nya', 'diupdate', 'dong', 'banyak', 'bus', 'yang', 'rute', 'nya', 'beda', 'sama', 'di', 'aplikasi']","['rute', 'diupdate', 'bus', 'rute', 'beda', 'aplikasi']","['rute', 'diupdate', 'bus', 'rute', 'beda', 'aplikasi']",rute diupdate bus rute beda aplikasi
sangat membantu untuk melihat titik bus dan sekarang enggak susah kalau mau ngasih saran atau aduan,5,0,,2025-01-24 07:56:46,,,"['sangat', 'membantu', 'untuk', 'melihat', 'titik', 'bus', 'dan', 'sekarang', 'enggak', 'susah', 'kalau', 'mau', 'ngasih', 'saran', 'atau', 'aduan']","['membantu', 'titik', 'bus', 'susah', 'ngasih', 'saran', 'aduan']","['bantu', 'titik', 'bus', 'susah', 'ngasih', 'saran', 'adu']",bantu titik bus susah ngasih saran adu
pak kalau sedang hujan b nya jangan berhenti di depok terimakasih,4,0,,2025-01-13 11:09:07,,,"['pak', 'kalau', 'sedang', 'hujan', 'b', 'nya', 'jangan', 'berhenti', 'di', 'depok', 'terimakasih']","['hujan', 'b', 'berhenti', 'depok', 'terimakasih']","['hujan', 'b', 'henti', 'depok', 'terimakasih']",hujan b henti depok terimakasih
aplikasi yang sangat membantu akan lebih seru apabila ada jam keberangkatan bus berikutnya,5,0,,2024-12-16 06:57:52,,,"['aplikasi', 'yang', 'sangat', 'membantu', 'akan', 'lebih', 'seru', 'apabila', 'ada', 'jam', 'keberangkatan', 'bus', 'berikutnya']","['aplikasi', 'membantu', 'seru', 'jam', 'keberangkatan', 'bus']","['aplikasi', 'bantu', 'seru', 'jam', 'berangkat', 'bus']",aplikasi bantu seru jam berangkat bus
hallo min tolong yang jalur lama banget bus cuma ini saya sudah jam bus dogkol,2,0,2.2.1,2024-11-18 06:35:59,,,"['hallo', 'min', 'tolong', 'yang', 'jalur', 'lama', 'banget', 'bus', 'cuma', 'ini', 'saya', 'sudah', 'jam', 'bus', 'dogkol']","['hallo', 'min', 'tolong', 'jalur', 'banget', 'bus', 'jam', 'bus', 'dogkol']","['hallo', 'min', 'tolong', 'jalur', 'banget', 'bus', 'jam', 'bus', 'dogkol']",hallo min tolong jalur banget bus jam bus dogkol
plis banget jalur tambahin armada nya,5,0,2.2.1,2024-11-12 22:34:56,,,"['plis', 'banget', 'jalur', 'tambahin', 'armada', 'nya']","['plis', 'banget', 'jalur', 'tambahin', 'armada']","['plis', 'banget', 'jalur', 'tambahin', 'armada']",plis banget jalur tambahin armada
lokasinya kadang tidak akurat di aps bus sudah deket posisi eh ternyata tidak gerak gerak bus nya saya lihat semua bus juga sama tidak ada yang bergerak padahal masih siang jam,1,0,2.2.1,2024-11-01 11:39:27,,,"['lokasinya', 'kadang', 'tidak', 'akurat', 'di', 'aps', 'bus', 'sudah', 'deket', 'posisi', 'eh', 'ternyata', 'tidak', 'gerak', 'gerak', 'bus', 'nya', 'saya', 'lihat', 'semua', 'bus', 'juga', 'sama', 'tidak', 'ada', 'yang', 'bergerak', 'padahal', 'masih', 'siang', 'jam']","['lokasinya', 'kadang', 'akurat', 'aps', 'bus', 'deket', 'posisi', 'eh', 'gerak', 'gerak', 'bus', 'lihat', 'bus', 'bergerak', 'siang', 'jam']","['lokasi', 'kadang', 'akurat', 'aps', 'bus', 'deket', 'posisi', 'eh', 'gerak', 'gerak', 'bus', 'lihat', 'bus', 'gerak', 'siang', 'jam']",lokasi kadang akurat aps bus deket posisi eh gerak gerak bus lihat bus gerak siang jam
tolong dong pengaturan waktu kapan isi bensin juga harus dipikirin ini selalu nyusahin penumpang kayak gaada salah tiba tiba harusnya udah mau sampai malah isi bensin mending kalau cepet ini bisa menit sendiri orang juga banyak kegiatan penting ada yang kerja dl kami bayar tidak gratis angkutan kota kok begini bintang,1,0,,2024-10-11 02:50:53,,,"['tolong', 'dong', 'pengaturan', 'waktu', 'kapan', 'isi', 'bensin', 'juga', 'harus', 'dipikirin', 'ini', 'selalu', 'nyusahin', 'penumpang', 'kayak', 'gaada', 'salah', 'tiba', 'tiba', 'harusnya', 'udah', 'mau', 'sampai', 'malah', 'isi', 'bensin', 'mending', 'kalau', 'cepet', 'ini', 'bisa', 'menit', 'sendiri', 'orang', 'juga', 'banyak', 'kegiatan', 'penting', 'ada', 'yang', 'kerja', 'dl', 'kami', 'bayar', 'tidak', 'gratis', 'angkutan', 'kota', 'kok', 'begini', 'bintang']","['tolong', 'pengaturan', 'isi', 'bensin', 'dipikirin', 'nyusahin', 'penumpang', 'kayak', 'gaada', 'salah', 'udah', 'isi', 'bensin', 'mending', 'cepet', 'menit', 'orang', 'kegiatan', 'kerja', 'dl', 'bayar', 'gratis', 'angkutan', 'kota', 'bintang']","['tolong', 'atur', 'isi', 'bensin', 'dipikirin', 'nyusahin', 'tumpang', 'kayak', 'gaada', 'salah', 'udah', 'isi', 'bensin', 'mending', 'cepet', 'menit', 'orang', 'giat', 'kerja', 'dl', 'bayar', 'gratis', 'angkut', 'kota', 'bintang']",tolong atur isi bensin dipikirin nyusahin tumpang kayak gaada salah udah isi bensin mending cepet menit orang giat kerja dl bayar gratis angkut kota bintang
jadwal gajelas,2,0,,2024-09-17 08:29:21,,,"['jadwal', 'gajelas']","['jadwal', 'gajelas']","['jadwal', 'gajelas']",jadwal gajelas
menggunakan transjogja di beberapa jalur semuanya oke namun kecewa di c entah sistem pengisian solar itu bagaimana padahal jelas jelas kondisi macet parah dari bandara maguwo harusnya langsung belok kanan ke arah prambanan malah belok kiri dan putar balik di daerah hotel jayakarta untuk beli solar padahal panel solar masih diatas dan kenapa harus belinya disitu dan kenapa belinya juga harus di saat macet padahal opsi spbu banyak solar juga masih banyak dan keluar jalur masuk,1,1,2.2.1,2024-09-16 09:46:43,,,"['menggunakan', 'transjogja', 'di', 'beberapa', 'jalur', 'semuanya', 'oke', 'namun', 'kecewa', 'di', 'c', 'entah', 'sistem', 'pengisian', 'solar', 'itu', 'bagaimana', 'padahal', 'jelas', 'jelas', 'kondisi', 'macet', 'parah', 'dari', 'bandara', 'maguwo', 'harusnya', 'langsung', 'belok', 'kanan', 'ke', 'arah', 'prambanan', 'malah', 'belok', 'kiri', 'dan', 'putar', 'balik', 'di', 'daerah', 'hotel', 'jayakarta', 'untuk', 'beli', 'solar', 'padahal', 'panel', 'solar', 'masih', 'diatas', 'dan', 'kenapa', 'harus', 'belinya', 'disitu', 'dan', 'kenapa', 'belinya', 'juga', 'harus', 'di', 'saat', 'macet', 'padahal', 'opsi', 'spbu', 'banyak', 'solar', 'juga', 'masih', 'banyak', 'dan', 'keluar', 'jalur', 'masuk']","['transjogja', 'jalur', 'oke', 'kecewa', 'c', 'sistem', 'pengisian', 'solar', 'kondisi', 'macet', 'parah', 'bandara', 'maguwo', 'langsung', 'belok', 'kanan', 'arah', 'prambanan', 'belok', 'kiri', 'putar', 'daerah', 'hotel', 'jayakarta', 'beli', 'solar', 'panel', 'solar', 'diatas', 'belinya', 'disitu', 'belinya', 'macet', 'opsi', 'spbu', 'solar', 'jalur', 'masuk']","['transjogja', 'jalur', 'oke', 'kecewa', 'c', 'sistem', 'isi', 'solar', 'kondisi', 'macet', 'parah', 'bandara', 'maguwo', 'langsung', 'belok', 'kanan', 'arah', 'prambanan', 'belok', 'kiri', 'putar', 'daerah', 'hotel', 'jayakarta', 'beli', 'solar', 'panel', 'solar', 'atas', 'beli', 'situ', 'beli', 'macet', 'opsi', 'spbu', 'solar', 'jalur', 'masuk']",transjogja jalur oke kecewa c sistem isi solar kondisi macet parah bandara maguwo langsung belok kanan arah prambanan belok kiri putar daerah hotel jayakarta beli solar panel solar atas beli situ beli macet opsi spbu solar jalur masuk
sudah bagus jalur sudah sinkron gps bus juga sudah sinkron saran di bagian map untuk ikon bus bisa diberi tanda jalur,5,2,2.2.1,2024-09-12 06:08:15,,,"['sudah', 'bagus', 'jalur', 'sudah', 'sinkron', 'gps', 'bus', 'juga', 'sudah', 'sinkron', 'saran', 'di', 'bagian', 'map', 'untuk', 'ikon', 'bus', 'bisa', 'diberi', 'tanda', 'jalur']","['bagus', 'jalur', 'sinkron', 'gps', 'bus', 'sinkron', 'saran', 'map', 'ikon', 'bus', 'tanda', 'jalur']","['bagus', 'jalur', 'sinkron', 'gps', 'bus', 'sinkron', 'saran', 'map', 'ikon', 'bus', 'tanda', 'jalur']",bagus jalur sinkron gps bus sinkron saran map ikon bus tanda jalur
cukup membantu meskipun baca ngeceknya pelan,5,0,,2024-09-09 23:14:40,,,"['cukup', 'membantu', 'meskipun', 'baca', 'ngeceknya', 'pelan']","['membantu', 'baca', 'ngeceknya', 'pelan']","['bantu', 'baca', 'ngeceknya', 'pelan']",bantu baca ngeceknya pelan
